Participant,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Channel 08,0 back,8.36E-04,1.40E-03,5.39E-04,5.54E-04,1.00E-03,7.89E-04,5.71E-04,5.96E-04,4.17E-04,5.41E-04,7.03E-04,2.22E-04,4.07E-04,8.52E-04,6.55E-04,6.05E-04,6.87E-04,1.60E-03,5.25E-04,5.34E-04,3.16E-04,6.66E-04,9.24E-04,6.92E-04,5.53E-04,6.51E-04
,2 back,6.47E-04,1.40E-03,6.25E-04,6.39E-04,8.24E-04,7.50E-04,5.97E-04,5.27E-04,5.97E-04,5.05E-04,6.28E-04,1.79E-04,5.29E-04,9.44E-04,4.47E-04,5.56E-04,5.85E-04,1.90E-03,6.69E-04,6.29E-04,2.06E-04,9.89E-04,1.10E-03,6.21E-04,5.94E-04,6.06E-04
,3 back,6.45E-04,1.30E-03,6.60E-04,6.63E-04,8.77E-04,8.03E-04,6.27E-04,5.48E-04,6.15E-04,4.95E-04,6.18E-04,1.87E-04,5.05E-04,9.46E-04,4.62E-04,5.52E-04,5.56E-04,2.00E-03,7.05E-04,6.38E-04,2.16E-04,1.00E-03,1.10E-03,6.27E-04,6.26E-04,6.21E-04
Channel 11,0 back,7.95E-04,9.53E-04,5.54E-04,8.77E-04,1.50E-03,4.56E-04,3.90E-04,7.79E-04,6.72E-04,8.56E-04,7.88E-04,4.30E-04,5.40E-04,8.25E-04,9.52E-04,1.10E-03,7.74E-04,5.46E-04,1.50E-03,5.63E-04,3.40E-04,6.14E-04,6.00E-04,6.97E-04,5.45E-04,8.30E-04
,2 back,8.72E-04,6.33E-04,4.18E-04,1.10E-03,1.70E-03,4.63E-04,4.81E-04,5.07E-04,8.86E-04,9.52E-04,8.99E-04,5.72E-04,3.88E-04,8.92E-04,7.11E-04,1.40E-03,5.81E-04,5.02E-04,1.10E-03,7.98E-04,3.93E-04,5.72E-04,7.86E-04,6.37E-04,5.14E-04,8.60E-04
,3 back,9.20E-04,6.70E-04,4.13E-04,1.20E-03,1.50E-03,4.79E-04,4.99E-04,4.97E-04,9.07E-04,9.96E-04,7.96E-04,5.82E-04,3.87E-04,9.19E-04,7.05E-04,1.50E-03,5.57E-04,5.07E-04,1.10E-03,7.13E-04,4.16E-04,5.78E-04,8.28E-04,6.31E-04,5.28E-04,8.63E-04
Channel 12,0 back,1.30E-03,1.10E-03,6.18E-04,1.10E-03,7.80E-04,9.43E-04,6.52E-04,4.29E-04,3.48E-04,7.91E-04,1.00E-03,5.58E-04,5.36E-04,1.40E-03,6.93E-04,6.54E-04,7.10E-04,6.08E-04,1.10E-03,8.67E-04,7.65E-04,9.89E-04,7.23E-04,2.40E-03,4.59E-04,1.30E-03
,2 back,1.20E-03,7.79E-04,9.31E-04,1.60E-03,8.23E-04,7.87E-04,1.00E-03,5.61E-04,3.79E-04,9.81E-04,9.13E-04,4.84E-04,5.65E-04,1.30E-03,5.45E-04,5.78E-04,7.61E-04,5.95E-04,1.10E-03,1.40E-03,6.23E-04,1.10E-03,8.31E-04,1.90E-03,4.73E-04,1.30E-03
,3 back,1.20E-03,6.93E-04,9.64E-04,1.70E-03,8.67E-04,8.13E-04,1.10E-03,5.73E-04,3.92E-04,6.62E-04,9.18E-04,4.48E-04,5.58E-04,1.30E-03,5.51E-04,5.42E-04,7.78E-04,6.16E-04,1.10E-03,1.40E-03,6.58E-04,1.10E-03,8.25E-04,2.00E-03,4.80E-04,1.40E-03
Channel 20,0 back,6.71E-04,7.28E-04,4.43E-04,8.76E-04,3.30E-03,7.80E-04,4.74E-04,3.24E-04,2.89E-04,4.99E-04,7.34E-04,6.86E-04,4.13E-04,1.20E-03,6.65E-04,3.59E-04,5.89E-04,1.40E-03,6.71E-04,4.97E-04,4.44E-04,4.10E-04,5.33E-04,8.23E-04,3.26E-04,7.55E-04
,2 back,7.83E-04,5.64E-04,8.87E-04,1.10E-03,2.30E-03,6.27E-04,6.11E-04,2.63E-04,4.96E-04,4.19E-04,6.78E-04,4.96E-04,4.94E-04,1.20E-03,4.35E-04,3.63E-04,5.87E-04,1.20E-03,7.78E-04,5.82E-04,3.97E-04,4.87E-04,6.80E-04,7.92E-04,4.01E-04,6.69E-04
,3 back,8.26E-04,5.46E-04,9.36E-04,1.20E-03,2.40E-03,6.74E-04,6.27E-04,2.67E-04,5.20E-04,3.93E-04,6.95E-04,5.29E-04,4.68E-04,1.20E-03,4.35E-04,3.45E-04,5.27E-04,1.30E-03,8.39E-04,5.91E-04,4.03E-04,5.07E-04,7.14E-04,8.49E-04,4.28E-04,6.81E-04
Channel 24,0 back,1.90E-03,7.79E-04,1.50E-03,1.60E-03,3.50E-03,7.42E-04,4.71E-04,6.29E-04,9.42E-04,1.50E-03,6.83E-04,8.53E-04,8.02E-04,7.14E-04,1.00E-03,1.50E-03,7.22E-04,9.30E-04,1.00E-03,5.50E-04,2.10E-03,4.80E-03,1.20E-03,1.20E-03,1.70E-03,1.10E-03
,2 back,2.20E-03,7.26E-04,8.98E-04,1.60E-03,2.80E-03,7.74E-04,5.77E-04,5.37E-04,1.50E-03,1.30E-03,6.21E-04,8.91E-04,7.29E-04,8.52E-04,7.47E-04,1.40E-03,7.66E-04,1.40E-03,5.11E-04,9.24E-04,2.60E-03,4.10E-03,1.30E-03,1.10E-03,1.90E-03,1.00E-03
,3 back,2.30E-03,7.41E-04,9.51E-04,1.70E-03,2.80E-03,8.01E-04,6.00E-04,5.72E-04,1.60E-03,1.40E-03,6.20E-04,9.01E-04,7.34E-04,8.94E-04,7.85E-04,1.40E-03,7.60E-04,1.50E-03,5.08E-04,9.78E-04,2.70E-03,4.40E-03,1.20E-03,1.20E-03,2.00E-03,1.10E-03
Channel 25,0 back,9.87E-04,1.20E-03,8.41E-04,9.39E-04,8.73E-04,8.80E-04,5.09E-04,2.72E-04,3.54E-04,6.63E-04,5.19E-04,3.71E-04,5.31E-04,1.30E-03,3.97E-04,3.67E-04,6.96E-04,8.65E-04,1.10E-03,9.68E-04,6.93E-04,1.30E-03,8.61E-04,2.40E-03,7.03E-04,1.10E-03
,2 back,8.33E-04,9.13E-04,1.40E-03,1.30E-03,1.10E-03,8.24E-04,8.75E-04,4.62E-04,4.24E-04,6.45E-04,6.11E-04,4.04E-04,5.42E-04,1.40E-03,4.16E-04,3.69E-04,7.50E-04,6.29E-04,1.60E-03,1.20E-03,5.79E-04,1.50E-03,9.41E-04,2.30E-03,5.31E-04,1.20E-03
,3 back,8.43E-04,8.66E-04,1.50E-03,1.30E-03,1.20E-03,8.75E-04,9.04E-04,4.61E-04,4.34E-04,6.33E-04,5.98E-04,4.30E-04,5.08E-04,1.40E-03,4.42E-04,3.72E-04,7.36E-04,6.71E-04,1.60E-03,1.20E-03,6.12E-04,1.60E-03,9.25E-04,2.40E-03,5.48E-04,1.10E-03
