Participant,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,3 back,2.2691,1.7837,3.5375,5.0425,2.2523,3.0903,3.8807,2.9065,2.4661,2.7428,2.4532,3.5498,3.9524,2.6458,3.0587,2.68,3.8404,2.5514,3.228,3.0063,3.6011,2.5383,2.0895,3.8341,2.9539,3.2382
Channel 12,0 back,3.8909,3.8772,3.0075,1.9333,4.0128,3.483,3.2702,2.9323,3.7029,2.6485,4.4813,3.2981,3.0972,3.4272,3.175,7.5317,2.833,3.5334,3.8542,2.9759,2.6082,2.7204,3.0408,3.3409,3.8092,4.2707
,2 back,2.8927,3.7952,3.2688,2.8506,4.1178,3.2307,3.4036,6.6482,3.685,5.8993,3.0527,3.2091,3.5733,3.2422,3.4893,3.6757,3.7393,3.7636,4.1484,3.3532,3.2953,3.1488,3.0862,3.1053,3.224,7.8032
,3 back,3.1425,4.1733,3.8023,2.709,4.563,2.9346,4.2418,4.5763,3.9081,2.9038,3.1182,2.2316,3.1745,3.3848,3.3737,3.8344,3.6466,4.4486,4.1977,4.0532,3.5552,3.0594,2.9149,2.9044,3.8022,3.7378
Channel 20,0 back,3.201,3.9799,2.3327,3.6579,3.4749,2.9024,2.6104,3.7441,1.7857,2.5613,3.4248,2.9774,5.3419,3.0318,4.6656,2.9558,2.5461,3.1543,6.3454,2.4024,2.5732,2.9867,2.4087,2.3761,3.0325,3.4782
,2 back,3.8199,3.6416,3.3992,3.6234,1.2352,3.07,3.2241,3.1078,2.9663,2.5801,3.7698,3.4147,3.7606,2.6777,3.2045,2.9164,2.3338,3.4003,3.9703,3.0348,2.8335,3.0904,3.1438,2.8821,3.3138,5.5146
,3 back,3.2664,3.8966,3.9317,3.7722,2.0929,2.6294,2.3419,2.5401,3.7294,3.1986,3.7614,3.7705,3.7817,2.9708,4.022,4.2325,3.4259,2.2183,4.0552,3.196,2.3541,2.9734,2.3845,2.8534,2.8151,3.4263
Channel 24,0 back,1.2812,3.5281,2.0053,1.9689,2.2004,2.3894,2.6677,3.6687,2.5832,2.369,4.3172,2.5576,1.959,2.5653,1.1275,2.2778,1.5775,2.4054,3.5316,1.8216,1.752,1.6694,2.4646,1.7293,3.0064,2.2021
,2 back,8.2063,3.8166,2.0868,1.4693,1.9734,2.4692,4.671,3.9945,3.4053,2.3059,4.1716,2.3562,4.2574,2.1541,1.7411,2.1109,2.486,2.1013,2.6965,3.0572,3.1746,1.9543,1.8724,2.1358,2.3437,2.6691
,3 back,4.5184,4.2008,3.3819,2.1641,2.5436,4.726,3.491,2.9971,2.562,1.7077,4.9895,2.0297,2.454,2.5895,2.2924,2.1364,2.8452,2.2454,3.6341,2.9948,2.4721,1.7397,2.037,2.9988,2.3206,2.2462
Channel 25,0 back,3.5264,3.9157,1.8786,6.5653,3.887,4.2638,2.4509,2.4435,3.0385,2.8307,3.16,2.9028,2.7002,3.0016,2.5228,3.6742,2.5653,4.047,3.1299,2.4019,3.2138,3.4869,2.5402,2.4338,4.437,3.3439
,2 back,3.0308,4.6504,3.4889,4.7402,4.0672,3.3787,3.6655,4.421,3.5893,2.7618,4.2697,3.401,3.2824,2.7599,3.105,4.2906,3.4072,3.5664,3.8584,3.4321,3.4203,4.3492,3.1754,3.3593,4.9501,3.1062
,3 back,3.6845,3.5217,3.7401,4.3926,3.1946,2.9918,2.9613,3.6438,3.5065,3.336,4.5187,3.2419,3.6226,2.7314,3.9472,4.3769,4.8641,4.5948,5.3377,3.4657,3.4676,2.929,3.274,2.3208,3.873,3.0709
